Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
41.3,-11604.80241,5369.41348,-903.85792,2200.74279,-4938.50405,996.42391,996.35895, 
41.4,-11604.80241,5371.80147,-903.65925,2195.42687,-4941.23331,993.69465,993.62969, 
41.5,-11604.80241,5374.20332,-903.45441,2190.13676,-4943.91673,991.01123,990.94627, 
41.6,-11604.80241,5376.61934,-903.24460,2184.87209,-4946.55558,988.37239,988.30742, 
41.7,-11604.80241,5379.04982,-903.03092,2179.63247,-4949.15104,985.77693,985.71196, 
41.8,-11604.80241,5381.49327,-902.81435,2174.41812,-4951.70537,983.22259,983.15763, 
41.9,-11604.80241,5383.95050,-902.59582,2169.22846,-4954.21927,980.70869,980.64373, 
42.0,-11604.80241,5386.41995,-902.37618,2164.06371,-4956.69492,978.23304,978.16808, 
42.1,-11604.80241,5388.90183,-902.15620,2158.92349,-4959.13329,975.79467,975.72971, 
42.2,-11604.80241,5391.39627,-901.93660,2153.80744,-4961.53529,973.39267,973.32771, 
42.3,-11604.80241,5393.90168,-901.71802,2148.71578,-4963.90297,971.02500,970.96003, 
42.4,-11604.80241,5396.41876,-901.50103,2143.64793,-4966.23674,968.69122,968.62626, 
42.5,-11604.80241,5398.94586,-901.28620,2138.60413,-4968.53861,966.38935,966.32439, 
42.6,-11604.80241,5401.48310,-901.07400,2133.58401,-4970.80929,964.11867,964.05371, 
42.7,-11604.80241,5404.03053,-900.86482,2128.58721,-4973.04948,961.87848,961.81352, 
42.8,-11604.80241,5406.58651,-900.65907,2123.61396,-4975.26101,959.66696,959.60199, 
42.9,-11604.80241,5409.15166,-900.45703,2118.66369,-4977.44408,957.48388,957.41892, 
43.0,-11604.80241,5411.72432,-900.25904,2113.73664,-4979.60048,955.32748,955.26252, 
43.1,-11604.80241,5414.30453,-900.06532,2108.83246,-4981.73074,953.19722,953.13226, 
43.2,-11604.80241,5416.89233,-899.87607,2103.95079,-4983.83536,951.09260,951.02764, 
43.3,-11604.80241,5419.48605,-899.69150,2099.09185,-4985.91600,949.01196,948.94700, 
43.4,-11604.80241,5422.08630,-899.51172,2094.25513,-4987.97271,946.95526,946.89029, 
43.5,-11604.80241,5424.69139,-899.33687,2089.44082,-4990.00706,944.92090,944.85594, 
43.6,-11604.80241,5427.30138,-899.16703,2084.64860,-4992.01946,942.90850,942.84354, 
43.7,-11604.80241,5429.91630,-899.00226,2079.87813,-4994.01025,940.91772,940.85275, 
43.8,-11604.80241,5432.53448,-898.84263,2075.12962,-4995.98094,938.94702,938.88206, 
43.9,-11604.80241,5435.15656,-898.68814,2070.40256,-4997.93143,936.99653,936.93157, 
44.0,-11604.80241,5437.78086,-898.53881,2065.69717,-4999.86319,935.06478,934.99981, 
44.1,-11604.80241,5440.40745,-898.39461,2061.01312,-5001.77644,933.15152,933.08656, 
44.2,-11604.80241,5443.03641,-898.25551,2056.35009,-5003.67142,931.25655,931.19158, 
44.3,-11604.80241,5445.66609,-898.12147,2051.70829,-5005.54950,929.37847,929.31350, 
44.4,-11604.80241,5448.29715,-897.99244,2047.08722,-5007.41047,927.51749,927.45253, 
44.5,-11604.80241,5450.92798,-897.86834,2042.48709,-5009.25568,925.67229,925.60732, 
44.6,-11604.80241,5453.55867,-897.74912,2037.90760,-5011.08526,923.84270,923.77774, 
44.7,-11604.80241,5456.18934,-897.63467,2033.34841,-5012.89933,922.02863,921.96367, 
44.8,-11604.80241,5458.81839,-897.52492,2028.80976,-5014.69917,920.22879,920.16383, 
44.9,-11604.80241,5461.44653,-897.41974,2024.29115,-5016.48447,918.44349,918.37853, 
45.0,-11604.80241,5464.07220,-897.31906,2019.79279,-5018.25647,916.67149,916.60653, 
45.1,-11604.80241,5466.69555,-897.22275,2015.31438,-5020.01523,914.91274,914.84777, 
45.2,-11604.80241,5469.31673,-897.13070,2010.85562,-5021.76075,913.16721,913.10225, 
45.3,-11604.80241,5471.93423,-897.04279,2006.41672,-5023.49425,911.43371,911.36875, 
45.4,-11604.80241,5474.54878,-896.95889,2001.99719,-5025.21533,909.71264,909.64767, 
45.5,-11604.80241,5477.15890,-896.87891,1997.59727,-5026.92515,908.00282,907.93785, 
45.6,-11604.80241,5479.76479,-896.80270,1993.21664,-5028.62368,906.30428,906.23932, 
45.7,-11604.80241,5482.36666,-896.73015,1988.85501,-5030.31088,904.61708,904.55212, 
45.8,-11604.80241,5484.96305,-896.66112,1984.51260,-5031.98788,902.94009,902.87512, 
45.9,-11604.80241,5487.55476,-896.59550,1980.18895,-5033.65420,901.27377,901.20880, 
46.0,-11604.80241,5490.14037,-896.53317,1975.88425,-5035.31095,899.61701,899.55205, 
46.1,-11604.80241,5492.72013,-896.47400,1971.59824,-5036.95804,897.96992,897.90496, 
46.2,-11604.80241,5495.29431,-896.41787,1967.33061,-5038.59536,896.33260,896.26764, 
46.3,-11604.80241,5497.86151,-896.36466,1963.08158,-5040.22398,894.70399,894.63902, 
46.4,-11604.80241,5500.42259,-896.31426,1958.85070,-5041.84337,893.08459,893.01963, 
46.5,-11604.80241,5502.97618,-896.26654,1954.63819,-5043.45458,891.47339,891.40842, 
46.6,-11604.80241,5505.52259,-896.22139,1950.44375,-5045.05746,889.87050,889.80554, 
46.7,-11604.80241,5508.06214,-896.17871,1946.26711,-5046.65186,888.27610,888.21114, 
46.8,-11604.80241,5510.59351,-896.13839,1942.10849,-5048.23880,886.68917,886.62420, 
46.9,-11604.80241,5513.11758,-896.10031,1937.96744,-5049.81771,885.11026,885.04529, 
47.0,-11604.80241,5515.63306,-896.06439,1933.84416,-5051.38957,883.53839,883.47343, 
47.1,-11604.80241,5518.14030,-896.03051,1929.73840,-5052.95422,881.97374,881.90878, 
47.2,-11604.80241,5520.63966,-895.99858,1925.64988,-5054.51145,880.41651,880.35155, 
47.3,-11604.80241,5523.12990,-895.96852,1921.57880,-5056.06223,878.86574,878.80077, 
47.4,-11604.80241,5525.61191,-895.94021,1917.52474,-5057.60596,877.32200,877.25704, 
47.5,-11604.80241,5528.08449,-895.91359,1913.48791,-5059.14360,875.78436,875.71940, 
47.6,-11604.80241,5530.54801,-895.88856,1909.46804,-5060.67492,874.25304,874.18808, 
47.7,-11604.80241,5533.00288,-895.86505,1905.46487,-5062.19971,872.72826,872.66329, 
47.8,-11604.80241,5535.44791,-895.84297,1901.47860,-5063.71887,871.20909,871.14413, 
47.9,-11604.80241,5537.88403,-895.82226,1897.50883,-5065.23181,869.69616,869.63119, 
48.0,-11604.80241,5540.31008,-895.80283,1893.55574,-5066.73941,868.18855,868.12359, 
48.1,-11604.80241,5542.72648,-895.78462,1889.61910,-5068.24145,866.68651,866.62155, 
48.2,-11604.80241,5545.13366,-895.76756,1885.69864,-5069.73766,865.19030,865.12534, 
48.3,-11604.80241,5547.53049,-895.75159,1881.79456,-5071.22895,863.69902,863.63405, 
48.4,-11604.80241,5549.91793,-895.73664,1877.90646,-5072.71466,862.21330,862.14834, 
48.5,-11604.80241,5552.29485,-895.72267,1874.03455,-5074.19568,860.73229,860.66732, 
48.6,-11604.80241,5554.66171,-895.70961,1870.17857,-5075.67174,859.25623,859.19126, 
