Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
38.6,-23209.60481,10207.47780,-3489.17806,309.69014,-16181.61493,842.20317,841.90993, 
38.7,-23209.60481,10213.05956,-3477.17761,308.88989,-16164.83297,825.42122,825.12797, 
38.8,-23209.60481,10218.71771,-3465.66526,308.09379,-16148.45857,809.04682,808.75357, 
38.9,-23209.60481,10224.44883,-3454.62472,307.30176,-16132.47894,793.06719,792.77394, 
39.0,-23209.60481,10230.24474,-3444.04159,306.51382,-16116.88785,777.47609,777.18285, 
39.1,-23209.60481,10236.10102,-3433.90039,305.72991,-16101.67427,762.26251,761.96927, 
39.2,-23209.60481,10242.01338,-3424.18610,304.94997,-16086.82757,747.41581,747.12257, 
39.3,-23209.60481,10247.97394,-3414.88506,304.17403,-16072.34190,732.93015,732.63690, 
39.4,-23209.60481,10253.97987,-3405.98237,303.40199,-16058.20532,718.79357,718.50032, 
39.5,-23209.60481,10260.02353,-3397.46489,302.63390,-16044.41227,705.00052,704.70727, 
39.6,-23209.60481,10266.10111,-3389.31888,301.86968,-16030.95290,691.54114,691.24790, 
39.7,-23209.60481,10272.20891,-3381.53068,301.10929,-16017.81729,678.40554,678.11229, 
39.8,-23209.60481,10278.33969,-3374.08787,300.35274,-16005.00025,665.58849,665.29525, 
39.9,-23209.60481,10284.49123,-3366.97724,299.59996,-15992.49086,653.07911,652.78586, 
40.0,-23209.60481,10290.65658,-3360.18699,298.85098,-15980.28425,640.87250,640.57925, 
40.1,-23209.60481,10296.83255,-3353.70475,298.10572,-15968.37129,628.95954,628.66629, 
40.2,-23209.60481,10303.01611,-3347.51871,297.36415,-15956.74326,617.33151,617.03826, 
40.3,-23209.60481,10309.20073,-3341.61801,296.62628,-15945.39581,605.98406,605.69081, 
40.4,-23209.60481,10315.38484,-3335.99125,295.89204,-15934.31918,594.90743,594.61418, 
40.5,-23209.60481,10321.56219,-3330.62803,295.16146,-15923.50919,584.09744,583.80419, 
40.6,-23209.60481,10327.73030,-3325.51759,294.43447,-15912.95764,573.54588,573.25264, 
40.7,-23209.60481,10333.88680,-3320.64977,293.71103,-15902.65675,563.24499,562.95175, 
40.8,-23209.60481,10340.02589,-3316.01516,292.99116,-15892.60293,553.19118,552.89793, 
40.9,-23209.60481,10346.14666,-3311.60395,292.27478,-15882.78732,543.37556,543.08232, 
41.0,-23209.60481,10352.24359,-3307.40717,291.56193,-15873.20646,533.79471,533.50146, 
41.1,-23209.60481,10358.31487,-3303.41580,290.85254,-15863.85320,524.44145,524.14820, 
41.2,-23209.60481,10364.35882,-3299.62108,290.14657,-15854.72050,515.30875,515.01550, 
41.3,-23209.60481,10370.37032,-3296.01496,289.44405,-15845.80540,506.39365,506.10040, 
