# of Threads,Time for FFTW
1,5.62993132 
,5.51767276 
,5.50622326 
,5.51400242 
,5.53144963 
 
 
2,3.45856701 
,3.42280010 
,3.41641496 
,3.43520411 
,3.42190979 
 
 
3,2.76692900 
,2.77281405 
,2.79276539 
,2.78638536 
,2.76992597 
 
 
4,2.41419874 
,2.42046430 
,2.41203483 
,2.41768857 
,2.42153293 
 
 
5,2.24602857 
,2.24262978 
,2.24346149 
,2.25277411 
,2.24644185 
 
 
6,2.09377343 
,2.10128792 
,2.10483055 
,2.09505876 
,2.09778195 
 
 
7,2.24744747 
,2.21474026 
,2.22560801 
,2.24016361 
,2.22914139 
 
 
8,2.28382604 
,2.20447649 
,2.13161693 
,2.14841806 
,2.13352714 
 
 
9,2.13421771 
,2.12296461 
,2.09683319 
,2.13009503 
,2.06481638 
 
 
10,2.05829354 
,2.04089309 
,2.04808288 
,2.04928601 
,2.06580127 
 
 
11,2.01240469 
,1.98799978 
,1.98586545 
,1.99290778 
,2.01498732 
 
 
12,1.96871074 
,1.94961121 
,1.95721578 
,1.95758365 
,1.94509761 
 
 
13,2.03087727 
,2.04383570 
,2.07136920 
,2.03555337 
,2.02306123 
 
 
14,2.01842217 
,1.98832145 
,2.03245700 
,2.02300664 
,2.07773283 
 
 
15,2.05213585 
,2.00528565 
,2.03443863 
,2.02581967 
,2.04395671 
 
 
16,2.03862122 
,2.00902549 
,2.04786178 
,2.06398771 
,1.98359478 
 
 
17,1.95963909 
,2.02667998 
,1.97778182 
,2.00931831 
,1.98173780 
 
 
18,1.96350879 
,1.97391472 
,1.98807732 
,1.96264466 
,1.97934790 
 
 
19,1.96198513 
,1.95478142 
,1.97137011 
,1.98168385 
,1.96552477 
 
 
20,1.94410413 
,1.95912432 
,1.97602801 
,1.95454148 
,1.94506141 
 
 
21,1.95392208 
,1.98634215 
,1.94169744 
,1.93959475 
,1.94396734 
 
 
22,1.96607907 
,1.97003471 
,1.95786567 
,1.95283846 
,1.95543830 
 
 
23,1.96679657 
,1.94197724 
,1.96354298 
,2.01199032 
,1.94859569 
 
 
24,1.95988337 
,1.95085285 
,1.97213073 
,2.03305049 
,1.99427749 
 
 
