Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
50.0,-8123.36180,4047.80999,-250.36740,153.53293,-4172.38628,156.57216,155.82728, 
50.1,-8123.36180,4046.82093,-244.02885,153.22649,-4167.34323,151.52912,150.78423, 
50.2,-8123.36180,4045.83425,-237.90260,152.92125,-4162.50890,146.69478,145.94990, 
50.3,-8123.36180,4044.84973,-231.97438,152.61723,-4157.86921,142.05510,141.31021, 
50.4,-8123.36180,4043.86824,-226.23248,152.31441,-4153.41162,137.59751,136.85262, 
50.5,-8123.36180,4042.88956,-220.66862,152.01281,-4149.12805,133.31394,132.56905, 
50.6,-8123.36180,4041.91426,-215.27611,151.71239,-4145.01125,129.19714,128.45225, 
50.7,-8123.36180,4040.94292,-210.04973,151.41315,-4141.05546,125.24135,124.49646, 
50.8,-8123.36180,4039.97530,-204.98618,151.11510,-4137.25759,121.44347,120.69859, 
50.9,-8123.36180,4039.01222,-200.08203,150.81820,-4133.61340,117.79929,117.05440, 
51.0,-8123.36180,4038.05346,-195.33515,150.52248,-4130.12101,114.30689,113.56201, 
51.1,-8123.36180,4037.09955,-190.74297,150.22792,-4126.77729,110.96318,110.21829, 
51.2,-8123.36180,4036.15105,-186.30320,149.93450,-4123.57944,107.76533,107.02044, 
51.3,-8123.36180,4035.20768,-182.01406,149.64224,-4120.52593,104.71182,103.96693, 
51.4,-8123.36180,4034.27025,-177.87291,149.35110,-4117.61336,101.79924,101.05436, 
51.5,-8123.36180,4033.33849,-173.87761,149.06110,-4114.83981,99.02569,98.28081, 
51.6,-8123.36180,4032.41292,-170.02542,148.77223,-4112.20207,96.38795,95.64307, 
51.7,-8123.36180,4031.49405,-166.31351,148.48446,-4109.69680,93.88268,93.13780, 
51.8,-8123.36180,4030.58158,-162.73901,148.19782,-4107.32141,91.50730,90.76241, 
51.9,-8123.36180,4029.67629,-159.29864,147.91226,-4105.07188,89.25777,88.51288, 
52.0,-8123.36180,4028.77787,-155.98956,147.62782,-4102.94565,87.13154,86.38665, 
52.1,-8123.36180,4027.88682,-152.80802,147.34447,-4100.93853,85.12442,84.37953, 
52.2,-8123.36180,4027.00360,-149.75036,147.06220,-4099.04636,83.23224,82.48736, 
52.3,-8123.36180,4026.12790,-146.81319,146.78101,-4097.26607,81.45196,80.70707, 
52.4,-8123.36180,4025.26045,-143.99232,146.50089,-4095.59278,79.77866,79.03378, 
52.5,-8123.36180,4024.40092,-141.28425,146.22184,-4094.02328,78.20916,77.46428, 
52.6,-8123.36180,4023.54976,-138.68506,145.94386,-4092.55324,76.73912,75.99424, 
52.7,-8123.36180,4022.70741,-136.19066,145.66692,-4091.17814,75.36402,74.61914, 
52.8,-8123.36180,4021.87352,-133.79736,145.39104,-4089.89460,74.08048,73.33560, 
