Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
72.3,-16246.72359,9031.65472,5470.19203,1777.40916,32.53233,510.84948,512.15798, 
72.4,-16246.72359,9033.90020,5470.19507,1774.95422,32.32590,510.64305,511.95155, 
72.5,-16246.72359,9036.13219,5470.19793,1772.50604,32.11257,510.42972,511.73822, 
72.6,-16246.72359,9038.35083,5470.20062,1770.06461,31.89247,510.20962,511.51812, 
72.7,-16246.72359,9040.55627,5470.20315,1767.62990,31.66573,509.98288,511.29138, 
72.8,-16246.72359,9042.74979,5470.20553,1765.20168,31.43341,509.75056,511.05906, 
72.9,-16246.72359,9044.92931,5470.20776,1762.78032,31.19379,509.51095,510.81944, 
73.0,-16246.72359,9047.09608,5470.20986,1760.36559,30.94793,509.26509,510.57358, 
73.1,-16246.72359,9049.25026,5470.21183,1757.95747,30.69596,509.01311,510.32161, 
73.2,-16246.72359,9051.39198,5470.21368,1755.55592,30.43799,508.75514,510.06364, 
73.3,-16246.72359,9053.52250,5470.21542,1753.16075,30.17507,508.49222,509.80072, 
73.4,-16246.72359,9055.63974,5470.21705,1750.77228,29.90548,508.22263,509.53113, 
73.5,-16246.72359,9057.74496,5470.21858,1748.39031,29.63026,507.94741,509.25591, 
73.6,-16246.72359,9059.83828,5470.22002,1746.01482,29.34952,507.66668,508.97517, 
73.7,-16246.72359,9061.91984,5470.22137,1743.64577,29.06339,507.38054,508.68904, 
73.8,-16246.72359,9063.99087,5470.22263,1741.28296,28.77288,507.09003,508.39853, 
73.9,-16246.72359,9066.04931,5470.22382,1738.92673,28.47627,506.79342,508.10192, 
74.0,-16246.72359,9068.09639,5470.22493,1736.57687,28.17459,506.49174,507.80024, 
74.1,-16246.72359,9070.13223,5470.22597,1734.23334,27.86795,506.18510,507.49360, 
74.2,-16246.72359,9072.15696,5470.22695,1731.89614,27.55645,505.87360,507.18210, 
74.3,-16246.72359,9074.17179,5470.22787,1729.56504,27.24110,505.55825,506.86675, 
74.4,-16246.72359,9076.17466,5470.22872,1727.24040,26.92019,505.23734,506.54584, 
74.5,-16246.72359,9078.16680,5470.22953,1724.92199,26.59472,504.91187,506.22037, 
74.6,-16246.72359,9080.14831,5470.23028,1722.60979,26.26479,504.58194,505.89044, 
74.7,-16246.72359,9082.11931,5470.23098,1720.30379,25.93049,504.24764,505.55614, 
74.8,-16246.72359,9084.08100,5470.23164,1718.00378,25.59283,503.90998,505.21848, 
74.9,-16246.72359,9086.03133,5470.23226,1715.71009,25.25008,503.56723,504.87573, 
75.0,-16246.72359,9087.97150,5470.23283,1713.42251,24.90325,503.22040,504.52890, 
75.1,-16246.72359,9089.90162,5470.23337,1711.14102,24.55242,502.86957,504.17807, 
75.2,-16246.72359,9091.82179,5470.23388,1708.86560,24.19768,502.51483,503.82333, 
75.3,-16246.72359,9093.73319,5470.23435,1706.59605,23.84000,502.15715,503.46565, 
75.4,-16246.72359,9095.63380,5470.23479,1704.33270,23.47769,501.79484,503.10334, 
75.5,-16246.72359,9097.52478,5470.23520,1702.07534,23.11172,501.42887,502.73737, 
75.6,-16246.72359,9099.40623,5470.23558,1699.82395,22.74217,501.05932,502.36782, 
75.7,-16246.72359,9101.27826,5470.23594,1697.57851,22.36912,500.68627,501.99477, 
75.8,-16246.72359,9103.14203,5470.23628,1695.33882,21.99354,500.31069,501.61919, 
75.9,-16246.72359,9104.99552,5470.23659,1693.10521,21.61373,499.93088,501.23938, 
76.0,-16246.72359,9106.83988,5470.23688,1690.87747,21.23064,499.54779,500.85629, 
76.1,-16246.72359,9108.67520,5470.23716,1688.65559,20.84436,499.16151,500.47001, 
76.2,-16246.72359,9110.50159,5470.23741,1686.43954,20.45495,498.77211,500.08060, 
76.3,-16246.72359,9112.32019,5470.23765,1684.22913,20.06338,498.38053,499.68903, 
76.4,-16246.72359,9114.12898,5470.23787,1682.02468,19.66794,497.98509,499.29359, 
76.5,-16246.72359,9115.92911,5470.23808,1679.82599,19.26958,497.58673,498.89523, 
76.6,-16246.72359,9117.72066,5470.23827,1677.63304,18.86837,497.18552,498.49402, 
76.7,-16246.72359,9119.50372,5470.23845,1675.44580,18.46438,496.78153,498.09003, 
76.8,-16246.72359,9121.27942,5470.23861,1673.26410,18.05855,496.37570,497.68420, 
76.9,-16246.72359,9123.04576,5470.23877,1671.08824,17.64918,495.96633,497.27483, 
77.0,-16246.72359,9124.80387,5470.23892,1668.91803,17.23722,495.55437,496.86287, 
77.1,-16246.72359,9126.55382,5470.23905,1666.75344,16.82272,495.13987,496.44837, 
77.2,-16246.72359,9128.29570,5470.23918,1664.59447,16.40575,494.72290,496.03140, 
77.3,-16246.72359,9130.03062,5470.23929,1662.44092,15.98723,494.30439,495.61288, 
77.4,-16246.72359,9131.75658,5470.23940,1660.29309,15.56549,493.88264,495.19114, 
77.5,-16246.72359,9133.47471,5470.23950,1658.15081,15.14143,493.45858,494.76708, 
77.6,-16246.72359,9135.18507,5470.23960,1656.01405,14.71513,493.03228,494.34078, 
77.7,-16246.72359,9136.88774,5470.23968,1653.88279,14.28663,492.60378,493.91228, 
77.8,-16246.72359,9138.58382,5470.23977,1651.75685,13.85685,492.17400,493.48250, 
77.9,-16246.72359,9140.27133,5470.23984,1649.63653,13.42411,491.74126,493.04976, 
78.0,-16246.72359,9141.95136,5470.23991,1647.52164,12.98932,491.30648,492.61497, 
78.1,-16246.72359,9143.62399,5470.23998,1645.41217,12.55255,490.86970,492.17820, 
78.2,-16246.72359,9145.28928,5470.24004,1643.30810,12.11382,490.43097,491.73947, 
78.3,-16246.72359,9146.94832,5470.24009,1641.20923,11.67406,489.99121,491.29971, 
78.4,-16246.72359,9148.59914,5470.24015,1639.11589,11.23158,489.54873,490.85723, 
78.5,-16246.72359,9150.24282,5470.24019,1637.02787,10.78729,489.10445,490.41294, 
78.6,-16246.72359,9151.87942,5470.24024,1634.94517,10.34124,488.65839,489.96689, 
78.7,-16246.72359,9153.50902,5470.24028,1632.86776,9.89347,488.21062,489.51912, 
78.8,-16246.72359,9155.13267,5470.24032,1630.79547,9.44487,487.76202,489.07052, 
78.9,-16246.72359,9156.74843,5470.24036,1628.72859,8.99378,487.31093,488.61943, 
79.0,-16246.72359,9158.35735,5470.24039,1626.66694,8.54109,486.85824,488.16674, 
79.1,-16246.72359,9159.95951,5470.24042,1624.61050,8.08684,486.40399,487.71249, 
79.2,-16246.72359,9161.55495,5470.24045,1622.55925,7.63107,485.94822,487.25672, 
79.3,-16246.72359,9163.14475,5470.24048,1620.51303,7.17466,485.49181,486.80031, 
79.4,-16246.72359,9164.72694,5470.24050,1618.47211,6.71596,485.03311,486.34161, 
79.5,-16246.72359,9166.30258,5470.24052,1616.43633,6.25584,484.57299,485.88149, 
79.6,-16246.72359,9167.87174,5470.24054,1614.40566,5.79435,484.11150,485.42000, 
79.7,-16246.72359,9169.43446,5470.24056,1612.38009,5.33152,483.64867,484.95717, 
79.8,-16246.72359,9170.99180,5470.24058,1610.35944,4.86822,483.18538,484.49387, 
79.9,-16246.72359,9172.54180,5470.24060,1608.34400,4.40281,482.71996,484.02846, 
