Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
41.5,-6823.62391,3314.14926,-60.57179,2312.52500,-1257.52144,42.99924,43.14256, 
41.6,-6823.62391,3319.28767,-60.57179,2306.96613,-1257.94190,42.57878,42.72210, 
41.7,-6823.62391,3324.39935,-60.57179,2301.43372,-1258.36264,42.15804,42.30136, 
41.8,-6823.62391,3329.48365,-60.57179,2295.92798,-1258.78408,41.73660,41.87992, 
41.9,-6823.62391,3334.54193,-60.57179,2290.44831,-1259.20546,41.31522,41.45854, 
42.0,-6823.62391,3339.57358,-60.57179,2284.99494,-1259.62718,40.89350,41.03682, 
42.1,-6823.62391,3344.57944,-60.57179,2279.56749,-1260.04877,40.47190,40.61523, 
42.2,-6823.62391,3349.56039,-60.57179,2274.16554,-1260.46977,40.05091,40.19423, 
42.3,-6823.62391,3354.51581,-60.57179,2268.78935,-1260.89055,39.63013,39.77345, 
42.4,-6823.62391,3359.44705,-60.57179,2263.43831,-1261.31035,39.21033,39.35365, 
42.5,-6823.62391,3364.35350,-60.57179,2258.11265,-1261.72955,38.79113,38.93445, 
42.6,-6823.62391,3369.23603,-60.57179,2252.81200,-1262.14767,38.37300,38.51633, 
42.7,-6823.62391,3374.09549,-60.57179,2247.53597,-1262.56424,37.95644,38.09976, 
42.8,-6823.62391,3378.93128,-60.57179,2242.28480,-1262.97962,37.54105,37.68438, 
42.9,-6823.62391,3383.74474,-60.57179,2237.05791,-1263.39306,37.12762,37.27094, 
43.0,-6823.62391,3388.53526,-60.57179,2231.85553,-1263.80491,36.71576,36.85909, 
43.1,-6823.62391,3393.30370,-60.57179,2226.67729,-1264.21472,36.30596,36.44928, 
43.2,-6823.62391,3398.05090,-60.57179,2221.52282,-1264.62198,35.89870,36.04202, 
43.3,-6823.62391,3402.77625,-60.57179,2216.39236,-1265.02709,35.49359,35.63691, 
43.4,-6823.62391,3407.48107,-60.57179,2211.28535,-1265.42928,35.09140,35.23472, 
43.5,-6823.62391,3412.16477,-60.57179,2206.20202,-1265.82892,34.69176,34.83508, 
43.6,-6823.62391,3416.82815,-60.57179,2201.14200,-1266.22555,34.29512,34.43845, 
43.7,-6823.62391,3421.47205,-60.57179,2196.10494,-1266.61871,33.90197,34.04529, 
43.8,-6823.62391,3426.09586,-60.57179,2191.09108,-1267.00876,33.51192,33.65524, 
43.9,-6823.62391,3430.70085,-60.57179,2186.09987,-1267.39498,33.12570,33.26902, 
