Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
179.9,-4874.01708,1867.23812,-860.85450,445.34994,-3422.28353,76.11830,76.33617, 
180.0,-4874.01708,1867.33804,-860.85450,445.10250,-3422.43103,75.97079,76.18867, 
180.1,-4874.01708,1867.43747,-860.85450,444.85535,-3422.57876,75.82306,76.04094, 
180.2,-4874.01708,1867.53622,-860.85450,444.60850,-3422.72686,75.67497,75.89284, 
180.3,-4874.01708,1867.63464,-860.85450,444.36189,-3422.87504,75.52678,75.74466, 
180.4,-4874.01708,1867.73239,-860.85450,444.11560,-3423.02359,75.37823,75.59611, 
180.5,-4874.01708,1867.82982,-860.85450,443.86953,-3423.17223,75.22959,75.44747, 
180.6,-4874.01708,1867.92674,-860.85450,443.62374,-3423.32110,75.08073,75.29860, 
180.7,-4874.01708,1868.02299,-860.85450,443.37826,-3423.47033,74.93149,75.14937, 
180.8,-4874.01708,1868.11890,-860.85450,443.13302,-3423.61966,74.78217,75.00004, 
180.9,-4874.01708,1868.21415,-860.85450,442.88808,-3423.76935,74.63247,74.85035, 
181.0,-4874.01708,1868.30906,-860.85450,442.64337,-3423.91914,74.48268,74.70056, 
181.1,-4874.01708,1868.40348,-860.85450,442.39894,-3424.06916,74.33266,74.55054, 
181.2,-4874.01708,1868.49722,-860.85450,442.15481,-3424.21955,74.18227,74.40015, 
181.3,-4874.01708,1868.59062,-860.85450,441.91092,-3424.37004,74.03179,74.24966, 
181.4,-4874.01708,1868.68336,-860.85450,441.66733,-3424.52089,73.88093,74.09881, 
181.5,-4874.01708,1868.77576,-860.85450,441.42397,-3424.67185,73.72998,73.94785, 
181.6,-4874.01708,1868.86766,-860.85450,441.18088,-3424.82304,73.57879,73.79666, 
181.7,-4874.01708,1868.95889,-860.85450,440.93810,-3424.97459,73.42723,73.64511, 
181.8,-4874.01708,1869.04978,-860.85450,440.69554,-3425.12626,73.27557,73.49344, 
181.9,-4874.01708,1869.14000,-860.85450,440.45329,-3425.27829,73.12353,73.34141, 
182.0,-4874.01708,1869.22989,-860.85450,440.21127,-3425.43042,72.97140,73.18928, 
