Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
35.0,-4061.68090,3972.81825,251.59600,3281.72224,3444.45559,3107.40810,3107.70147, 
35.1,-4061.68090,3972.48068,251.59599,3272.37274,3434.76852,3097.72104,3098.01440, 
35.2,-4061.68090,3972.16348,251.59599,3263.07602,3425.15459,3088.10711,3088.40047, 
35.3,-4061.68090,3971.86523,251.59599,3253.83232,3415.61263,3078.56515,3078.85851, 
35.4,-4061.68090,3971.58617,251.59598,3244.64049,3406.14175,3069.09426,3069.38763, 
35.5,-4061.68090,3971.32493,251.59598,3235.50080,3396.74081,3059.69332,3059.98669, 
35.6,-4061.68090,3971.08136,251.59598,3226.41245,3387.40889,3050.36140,3050.65477, 
35.7,-4061.68090,3970.85535,251.59598,3217.37467,3378.14510,3041.09762,3041.39098, 
35.8,-4061.68090,3970.64554,251.59598,3208.38773,3368.94835,3031.90087,3032.19423, 
35.9,-4061.68090,3970.45227,251.59598,3199.45051,3359.81786,3022.77038,3023.06374, 
36.0,-4061.68090,3970.27420,251.59598,3190.56329,3350.75256,3013.70508,3013.99844, 
36.1,-4061.68090,3970.11127,251.59598,3181.72529,3341.75164,3004.70416,3004.99752, 
36.2,-4061.68090,3969.96341,251.59598,3172.93580,3332.81429,2995.76681,2996.06017, 
36.3,-4061.68090,3969.82936,251.59598,3164.19506,3323.93950,2986.89201,2987.18538, 
36.4,-4061.68090,3969.70947,251.59598,3155.50202,3315.12657,2978.07909,2978.37245, 
36.5,-4061.68090,3969.60250,251.59598,3146.85694,3306.37452,2969.32703,2969.62040, 
36.6,-4061.68090,3969.50842,251.59598,3138.25910,3297.68260,2960.63512,2960.92848, 
36.7,-4061.68090,3969.42724,251.59598,3129.70779,3289.05011,2952.00263,2952.29599, 
36.8,-4061.68090,3969.35773,251.59598,3121.20328,3280.47609,2943.42861,2943.72197, 
36.9,-4061.68090,3969.30031,251.59598,3112.74454,3271.95993,2934.91245,2935.20581, 
37.0,-4061.68090,3969.25378,251.59598,3104.33185,3263.50071,2926.45322,2926.74659, 
37.1,-4061.68090,3969.21818,251.59598,3095.96450,3255.09776,2918.05028,2918.34364, 
37.2,-4061.68090,3969.19354,251.59598,3087.64183,3246.75045,2909.70296,2909.99633, 
37.3,-4061.68090,3969.17870,251.59598,3079.36409,3238.45787,2901.41039,2901.70375, 
37.4,-4061.68090,3969.17412,251.59598,3071.13031,3230.21951,2893.17203,2893.46539, 
37.5,-4061.68090,3969.17866,251.59598,3062.94075,3222.03449,2884.98701,2885.28037, 
37.6,-4061.68090,3969.19238,251.59598,3054.79476,3213.90222,2876.85474,2877.14810, 
37.7,-4061.68090,3969.21538,251.59598,3046.69167,3205.82213,2868.77465,2869.06801, 
37.8,-4061.68090,3969.24653,251.59598,3038.63176,3197.79337,2860.74589,2861.03925, 
37.9,-4061.68090,3969.28633,251.59598,3030.61408,3189.81550,2852.76801,2853.06138, 
38.0,-4061.68090,3969.33369,251.59598,3022.63890,3181.88768,2844.84019,2845.13356, 
38.1,-4061.68090,3969.38872,251.59598,3014.70559,3174.00939,2836.96191,2837.25527, 
38.2,-4061.68090,3969.45153,251.59598,3006.81351,3166.18012,2829.13264,2829.42600, 
38.3,-4061.68090,3969.52106,251.59598,2998.96294,3158.39908,2821.35160,2821.64496, 
38.4,-4061.68090,3969.59784,251.59598,2991.15296,3150.66588,2813.61840,2813.91176, 
