Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
55.2,-8123.36180,4004.81560,-97.94644,238.71036,-3977.78227,38.03184,38.77673, 
55.3,-8123.36180,4004.23693,-97.06418,238.27871,-3977.91034,37.90377,38.64866, 
55.4,-8123.36180,4003.66946,-96.21370,237.84859,-3978.05745,37.75667,38.50155, 
55.5,-8123.36180,4003.11267,-95.39369,237.42004,-3978.22277,37.59134,38.33623, 
55.6,-8123.36180,4002.56682,-94.60284,236.99303,-3978.40478,37.40933,38.15422, 
55.7,-8123.36180,4002.03216,-93.83988,236.56754,-3978.60198,37.21213,37.95702, 
55.8,-8123.36180,4001.50816,-93.10367,236.14359,-3978.81371,37.00040,37.74529, 
55.9,-8123.36180,4000.99532,-92.39300,235.72114,-3979.03834,36.77577,37.52066, 
56.0,-8123.36180,4000.49310,-91.70691,235.30022,-3979.27539,36.53873,37.28361, 
56.1,-8123.36180,4000.00173,-91.04434,234.88079,-3979.52361,36.29050,37.03539, 
56.2,-8123.36180,3999.52144,-90.40431,234.46285,-3979.78182,36.03229,36.77718, 
56.3,-8123.36180,3999.05167,-89.78595,234.04640,-3980.04968,35.76444,36.50932, 
56.4,-8123.36180,3998.59290,-89.18835,233.63142,-3980.32583,35.48828,36.23317, 
56.5,-8123.36180,3998.14458,-88.61074,233.21792,-3980.61004,35.20407,35.94896, 
56.6,-8123.36180,3997.70690,-88.05229,232.80588,-3980.90131,34.91280,35.65769, 
56.7,-8123.36180,3997.28006,-87.51223,232.39527,-3981.19869,34.61542,35.36031, 
56.8,-8123.36180,3996.86352,-86.98991,231.98613,-3981.50206,34.31206,35.05694, 
56.9,-8123.36180,3996.45770,-86.48460,231.57842,-3981.81028,34.00383,34.74872, 
57.0,-8123.36180,3996.06204,-85.99570,231.17214,-3982.12332,33.69080,34.43568, 
57.1,-8123.36180,3995.67673,-85.52259,230.76730,-3982.44037,33.37375,34.11863, 
57.2,-8123.36180,3995.30194,-85.06468,230.36385,-3982.76069,33.05343,33.79831, 
57.3,-8123.36180,3994.93710,-84.62143,229.96182,-3983.08431,32.72980,33.47469, 
57.4,-8123.36180,3994.58263,-84.19230,229.56118,-3983.41029,32.40383,33.14871, 
57.5,-8123.36180,3994.23795,-83.77682,229.16195,-3983.73872,32.07539,32.82028, 
57.6,-8123.36180,3993.90323,-83.37449,228.76411,-3984.06895,31.74517,32.49005, 
57.7,-8123.36180,3993.57863,-82.98483,228.36763,-3984.40036,31.41375,32.15864, 
57.8,-8123.36180,3993.26357,-82.60744,227.97253,-3984.73314,31.08098,31.82586, 
57.9,-8123.36180,3992.95845,-82.24189,227.57879,-3985.06645,30.74766,31.49255, 
58.0,-8123.36180,3992.66267,-81.88780,227.18642,-3985.40051,30.41361,31.15849, 
58.1,-8123.36180,3992.37641,-81.54478,226.79540,-3985.73477,30.07934,30.82423, 
58.2,-8123.36180,3992.09980,-81.21245,226.40571,-3986.06874,29.74537,30.49026, 
58.3,-8123.36180,3991.83224,-80.89047,226.01737,-3986.40265,29.41146,30.15635, 
58.4,-8123.36180,3991.57415,-80.57850,225.63034,-3986.73581,29.07830,29.82319, 
58.5,-8123.36180,3991.32490,-80.27626,225.24465,-3987.06850,28.74562,29.49050, 
58.6,-8123.36180,3991.08465,-79.98340,224.86028,-3987.40026,28.41386,29.15874, 
58.7,-8123.36180,3990.85355,-79.69963,224.47721,-3987.73067,28.08345,28.82833, 
58.8,-8123.36180,3990.63098,-79.42468,224.09545,-3988.06004,27.75407,28.49896, 
58.9,-8123.36180,3990.41734,-79.15826,223.71497,-3988.38774,27.42637,28.17126, 
59.0,-8123.36180,3990.21201,-78.90012,223.33580,-3988.71410,27.10001,27.84490, 
59.1,-8123.36180,3990.01514,-78.65000,222.95791,-3989.03874,26.77537,27.52026, 
59.2,-8123.36180,3989.82686,-78.40765,222.58128,-3989.36130,26.45281,27.19770, 
59.3,-8123.36180,3989.64656,-78.17286,222.20594,-3989.68215,26.13196,26.87685, 
59.4,-8123.36180,3989.47463,-77.94539,221.83185,-3990.00071,25.81341,26.55829, 
59.5,-8123.36180,3989.31045,-77.72503,221.45903,-3990.31735,25.49677,26.24165, 
59.6,-8123.36180,3989.15416,-77.51157,221.08746,-3990.63174,25.18238,25.92726, 
59.7,-8123.36180,3989.00590,-77.30477,220.71712,-3990.94355,24.87057,25.61545, 
