Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
25.0,-4874.01708,413.33297,-898.34352,1922.84282,-3436.18481,62.21701,62.43489, 
25.1,-4874.01708,415.34203,-896.86955,1915.18206,-3440.36254,58.03929,58.25716, 
25.2,-4874.01708,417.55727,-895.36964,1907.58210,-3444.24734,54.15449,54.37236, 
25.3,-4874.01708,419.97122,-893.85656,1900.04237,-3447.86005,50.54177,50.75965, 
25.4,-4874.01708,422.57653,-892.34143,1892.56186,-3451.22013,47.18170,47.39957, 
25.5,-4874.01708,425.36557,-890.83402,1885.14002,-3454.34551,44.05632,44.27419, 
25.6,-4874.01708,428.33076,-889.34273,1877.77616,-3457.25289,41.14893,41.36681, 
25.7,-4874.01708,431.46446,-887.87477,1870.46961,-3459.95777,38.44405,38.66193, 
25.8,-4874.01708,434.75899,-886.43629,1863.21984,-3462.47454,35.92729,36.14516, 
25.9,-4874.01708,438.20696,-885.03236,1856.02592,-3464.81657,33.58526,33.80313, 
26.0,-4874.01708,441.80076,-883.66726,1848.88733,-3466.99625,31.40557,31.62345, 
26.1,-4874.01708,445.53296,-882.34443,1841.80344,-3469.02511,29.37672,29.59459, 
26.2,-4874.01708,449.39621,-881.06659,1834.77363,-3470.91382,27.48800,27.70588, 
26.3,-4874.01708,453.38316,-879.83583,1827.79741,-3472.67234,25.72949,25.94736, 
26.4,-4874.01708,457.48692,-878.65361,1820.87391,-3474.30986,24.09197,24.30984, 
26.5,-4874.01708,461.70042,-877.52095,1814.00266,-3475.83495,22.56688,22.78475, 
26.6,-4874.01708,466.01685,-876.43840,1807.18308,-3477.25555,21.14627,21.36415, 
26.7,-4874.01708,470.42955,-875.40611,1800.41457,-3478.57906,19.82276,20.04064, 
26.8,-4874.01708,474.93194,-874.42390,1793.69671,-3479.81233,18.58950,18.80737, 
26.9,-4874.01708,479.51797,-873.49126,1787.02867,-3480.96170,17.44013,17.65800, 
27.0,-4874.01708,484.18141,-872.60744,1780.41002,-3482.03309,16.36873,16.58661, 
27.1,-4874.01708,488.91636,-871.77150,1773.84021,-3483.03201,15.36982,15.58769, 
27.2,-4874.01708,493.71712,-870.98229,1767.31872,-3483.96353,14.43829,14.65617, 
27.3,-4874.01708,498.57806,-870.23867,1760.84512,-3484.83256,13.56926,13.78714, 
27.4,-4874.01708,503.49415,-869.53917,1754.41866,-3485.64344,12.75838,12.97626, 
27.5,-4874.01708,508.46017,-868.88324,1748.03893,-3486.40121,12.00061,12.21849, 
27.6,-4874.01708,513.47126,-868.26818,1741.70543,-3487.10857,11.29325,11.51113, 
27.7,-4874.01708,518.52275,-867.69236,1735.41766,-3487.76902,10.63280,10.85068, 
27.8,-4874.01708,523.61004,-867.15396,1729.17525,-3488.38575,10.01607,10.23395, 
27.9,-4874.01708,528.72915,-866.65140,1722.97746,-3488.96187,9.43996,9.65783, 
28.0,-4874.01708,533.87590,-866.18298,1716.82395,-3489.50021,8.90161,9.11949, 
28.1,-4874.01708,539.04645,-865.74765,1710.71423,-3490.00405,8.39777,8.61565, 
28.2,-4874.01708,544.23712,-865.34299,1704.64784,-3490.47510,7.92672,8.14460, 
28.3,-4874.01708,549.44434,-864.96738,1698.62445,-3490.91567,7.48615,7.70403, 
28.4,-4874.01708,554.66510,-864.61910,1692.64335,-3491.32773,7.07410,7.29197, 
28.5,-4874.01708,559.89617,-864.29660,1686.70423,-3491.71328,6.68855,6.90642, 
28.6,-4874.01708,565.13464,-863.99836,1680.80664,-3492.07416,6.32766,6.54554, 
28.7,-4874.01708,570.37777,-863.72292,1674.95015,-3492.41208,5.98974,6.20762, 
28.8,-4874.01708,575.62285,-863.46886,1669.13444,-3492.72865,5.67317,5.89105, 
28.9,-4874.01708,580.86775,-863.23481,1663.35886,-3493.02527,5.37655,5.59443, 
29.0,-4874.01708,586.11005,-863.01945,1657.62312,-3493.30336,5.09847,5.31634, 
29.1,-4874.01708,591.34766,-862.82155,1651.92680,-3493.56416,4.83766,5.05554, 
29.2,-4874.01708,596.57861,-862.63989,1646.26949,-3493.80887,4.59296,4.81083, 
29.3,-4874.01708,601.80092,-862.47336,1640.65091,-3494.03861,4.36322,4.58109, 
29.4,-4874.01708,607.01318,-862.32087,1635.07045,-3494.25432,4.14750,4.36538, 
29.5,-4874.01708,612.21366,-862.18140,1629.52781,-3494.45700,3.94482,4.16270, 
29.6,-4874.01708,617.40091,-862.05398,1624.02263,-3494.64752,3.75431,3.97218, 
29.7,-4874.01708,622.57358,-861.93770,1618.55452,-3494.82668,3.57514,3.79302, 
29.8,-4874.01708,627.73029,-861.83172,1613.12321,-3494.99530,3.40652,3.62440, 
29.9,-4874.01708,632.87018,-861.73523,1607.72813,-3495.15400,3.24782,3.46570, 
30.0,-4874.01708,637.99207,-861.64748,1602.36902,-3495.30347,3.09835,3.31623, 
30.1,-4874.01708,643.09500,-861.56776,1597.04551,-3495.44433,2.95750,3.17537, 
30.2,-4874.01708,648.17811,-861.49542,1591.75726,-3495.57713,2.82469,3.04257, 
30.3,-4874.01708,653.24047,-861.42985,1586.50402,-3495.70245,2.69938,2.91725, 
30.4,-4874.01708,658.28164,-861.37048,1581.28523,-3495.82069,2.58114,2.79901, 
30.5,-4874.01708,663.30084,-861.31678,1576.10067,-3495.93235,2.46947,2.68735, 
30.6,-4874.01708,668.29749,-861.26826,1570.95000,-3496.03786,2.36397,2.58184, 
30.7,-4874.01708,673.27107,-861.22447,1565.83288,-3496.13760,2.26422,2.48210, 
30.8,-4874.01708,678.22100,-861.18499,1560.74908,-3496.23199,2.16983,2.38771, 
30.9,-4874.01708,683.14714,-861.14944,1555.69809,-3496.32128,2.08054,2.29842, 
31.0,-4874.01708,688.04899,-861.11745,1550.67969,-3496.40584,1.99599,2.21386, 
31.1,-4874.01708,692.92626,-861.08870,1545.69357,-3496.48595,1.91587,2.13375, 
31.2,-4874.01708,697.77866,-861.06288,1540.73940,-3496.56190,1.83992,2.05780, 
31.3,-4874.01708,702.60585,-861.03973,1535.81699,-3496.63398,1.76785,1.98572, 
31.4,-4874.01708,707.40789,-861.01899,1530.92583,-3496.70234,1.69948,1.91736, 
31.5,-4874.01708,712.18451,-861.00044,1526.06573,-3496.76727,1.63455,1.85243, 
31.6,-4874.01708,716.93558,-860.98385,1521.23639,-3496.82896,1.57286,1.79074, 
31.7,-4874.01708,721.66099,-860.96909,1516.43752,-3496.88765,1.51417,1.73205, 
31.8,-4874.01708,726.36056,-860.95592,1511.66892,-3496.94352,1.45830,1.67618, 
31.9,-4874.01708,731.03449,-860.94419,1506.93013,-3496.99665,1.40517,1.62305, 
32.0,-4874.01708,735.68263,-860.93374,1502.22095,-3497.04723,1.35459,1.57247, 
32.1,-4874.01708,740.30484,-860.92444,1497.54121,-3497.09547,1.30636,1.52423, 
32.2,-4874.01708,744.90154,-860.91617,1492.89035,-3497.14136,1.26047,1.47834, 
32.3,-4874.01708,749.47222,-860.90883,1488.26847,-3497.18522,1.21661,1.43448, 
32.4,-4874.01708,754.01746,-860.90232,1483.67495,-3497.22699,1.17483,1.39271, 
32.5,-4874.01708,758.53679,-860.89655,1479.10986,-3497.26698,1.13484,1.35272, 
32.6,-4874.01708,763.03054,-860.89145,1474.57278,-3497.30520,1.09662,1.31450, 
32.7,-4874.01708,767.49905,-860.88693,1470.06328,-3497.34167,1.06015,1.27803, 
32.8,-4874.01708,771.94189,-860.88294,1465.58145,-3497.37668,1.02515,1.24302, 
32.9,-4874.01708,776.35967,-860.87942,1461.12670,-3497.41013,0.99169,1.20957, 
33.0,-4874.01708,780.75199,-860.87631,1456.69911,-3497.44230,0.95952,1.17740, 
33.1,-4874.01708,785.11920,-860.87358,1452.29827,-3497.47319,0.92863,1.14651, 
33.2,-4874.01708,789.46168,-860.87117,1447.92378,-3497.50279,0.89903,1.11691, 
33.3,-4874.01708,793.77903,-860.86905,1443.57572,-3497.53137,0.87045,1.08833, 
33.4,-4874.01708,798.07190,-860.86720,1439.25354,-3497.55883,0.84299,1.06087, 
33.5,-4874.01708,802.33989,-860.86556,1434.95733,-3497.58543,0.81640,1.03427, 
33.6,-4874.01708,806.58339,-860.86414,1430.68669,-3497.61114,0.79068,1.00856, 
33.7,-4874.01708,810.80277,-860.86288,1426.44123,-3497.63596,0.76586,0.98374, 
33.8,-4874.01708,814.99766,-860.86179,1422.22105,-3497.66015,0.74167,0.95955, 
33.9,-4874.01708,819.16870,-860.86083,1418.02561,-3497.68359,0.71823,0.93611, 
34.0,-4874.01708,823.31552,-860.86000,1413.85501,-3497.70654,0.69528,0.91316, 
34.1,-4874.01708,827.43849,-860.85927,1409.70888,-3497.72898,0.67284,0.89072, 
34.2,-4874.01708,831.53799,-860.85863,1405.58683,-3497.75089,0.65093,0.86881, 
34.3,-4874.01708,835.61366,-860.85808,1401.48897,-3497.77253,0.62929,0.84717, 
34.4,-4874.01708,839.66611,-860.85760,1397.41478,-3497.79379,0.60804,0.82591, 
34.5,-4874.01708,843.69498,-860.85718,1393.36436,-3497.81491,0.58691,0.80479, 
34.6,-4874.01708,847.70064,-860.85682,1389.33736,-3497.83589,0.56593,0.78381, 
34.7,-4874.01708,851.68346,-860.85650,1385.33341,-3497.85671,0.54512,0.76299, 
34.8,-4874.01708,855.64306,-860.85623,1381.35263,-3497.87761,0.52421,0.74209, 
34.9,-4874.01708,859.58006,-860.85599,1377.39451,-3497.89850,0.50332,0.72120, 
35.0,-4874.01708,863.49408,-860.85579,1373.45916,-3497.91963,0.48219,0.70007, 
35.1,-4874.01708,867.38548,-860.85561,1369.54623,-3497.94099,0.46083,0.67871, 
35.2,-4874.01708,871.25461,-860.85546,1365.65538,-3497.96255,0.43927,0.65715, 
35.3,-4874.01708,875.10109,-860.85533,1361.78673,-3497.98459,0.41724,0.63511, 
35.4,-4874.01708,878.92553,-860.85522,1357.93979,-3498.00698,0.39484,0.61272, 
35.5,-4874.01708,882.72754,-860.85512,1354.11466,-3498.03000,0.37182,0.58970, 
35.6,-4874.01708,886.50746,-860.85504,1350.31103,-3498.05363,0.34819,0.56607, 
35.7,-4874.01708,890.26563,-860.85496,1346.52856,-3498.07785,0.32398,0.54185, 
35.8,-4874.01708,894.00168,-860.85489,1342.76736,-3498.10292,0.29890,0.51678, 
35.9,-4874.01708,897.71618,-860.85483,1339.02698,-3498.12875,0.27307,0.49095, 
36.0,-4874.01708,901.40875,-860.85478,1335.30751,-3498.15560,0.24622,0.46410, 
36.1,-4874.01708,905.07971,-860.85474,1331.60866,-3498.18345,0.21838,0.43625, 
36.2,-4874.01708,908.72941,-860.85470,1327.93010,-3498.21228,0.18954,0.40742, 
36.3,-4874.01708,912.35744,-860.85467,1324.27194,-3498.24236,0.15946,0.37734, 
36.4,-4874.01708,915.96439,-860.85465,1320.63375,-3498.27359,0.12824,0.34611, 
36.5,-4874.01708,919.54986,-860.85462,1317.01563,-3498.30621,0.09561,0.31349, 
36.6,-4874.01708,923.11418,-860.85460,1313.41728,-3498.34022,0.06160,0.27948, 
36.7,-4874.01708,926.65766,-860.85459,1309.83841,-3498.37560,0.02623,0.24410, 
36.8,-4874.01708,930.17994,-860.85457,1306.27912,-3498.41260,0.01077,0.20710, 
36.9,-4874.01708,933.68155,-860.85456,1302.73898,-3498.45110,0.04928,0.16860, 
