# of Threads,Time for FFTW
1,6.14289951 
,6.13007964 
,5.82017067 
,5.78299804 
,5.80545269 
 
 
2,3.57610436 
,3.75999734 
,3.57308103 
,3.73663832 
,3.80353395 
 
 
3,3.13277895 
,3.06377318 
,3.11242338 
,3.07495125 
,2.99022794 
 
 
4,2.67190784 
,2.67836064 
,2.54775214 
,2.56146168 
,2.66532667 
 
 
5,2.72903936 
,2.72721736 
,2.69861648 
,2.68329064 
,2.73796068 
 
 
6,2.52646966 
,2.49152384 
,2.60173673 
,2.67206026 
,2.48445952 
 
 
7,2.32785088 
,2.44283416 
,2.43631191 
,2.43067776 
,2.37014967 
 
 
8,2.34444402 
,2.35002364 
,2.30948998 
,2.34921013 
,2.29917299 
 
 
9,2.23234595 
,2.23452068 
,2.27855052 
,2.25844258 
,2.22025883 
 
 
10,2.15917574 
,2.15095958 
,2.14059164 
,2.16340613 
,2.34232287 
 
 
11,2.27474329 
,2.35171481 
,2.39621594 
,2.41363591 
,2.31093800 
 
 
12,2.29029001 
,2.29148479 
,2.32619308 
,2.48287385 
,2.26952478 
 
 
13,2.23516410 
,2.33933290 
,2.35601502 
,2.23212724 
,2.25873245 
 
 
14,2.35746333 
,2.20399351 
,2.43543127 
,2.32851923 
,2.22866157 
 
 
15,2.22144427 
,2.18631970 
,2.20343444 
,2.19726446 
,2.13598691 
 
 
16,2.13845110 
,2.19480128 
,2.15416705 
,2.19217546 
,2.14593129 
 
 
17,2.26667993 
,2.43134501 
,2.21091080 
,2.19194211 
,2.33442674 
 
 
18,2.26832951 
,2.19121351 
,2.18170715 
,2.18258545 
,2.32200900 
 
 
19,2.16782580 
,2.21848386 
,2.16767036 
,2.18171367 
,2.37560000 
 
 
20,2.18224162 
,2.44364256 
,2.28568909 
,2.19255666 
,2.33755951 
 
 
21,2.24019191 
,2.29787688 
,2.19933843 
,2.10920974 
,2.09921008 
 
 
22,2.30017804 
,2.27244252 
,2.13778871 
,2.21528890 
,2.11165729 
 
 
23,2.10966775 
,2.25731572 
,2.30566455 
,2.24605276 
,2.30026581 
 
 
24,2.20738886 
,2.06647556 
,2.07469315 
,2.16972373 
,2.12360560 
 
 
